trip_id,start_time,sunrise_date_time
1693,2012-06-09 13:09:15,2012-06-09 01:53:23
1696,2012-06-10 00:51:05,2012-06-10 01:52:47
1698,2012-06-11 00:43:39,2012-06-11 01:52:16
1699,2012-06-11 15:45:43,2012-06-11 01:52:15
1700,2012-06-12 01:14:00,2012-06-12 01:51:48
1702,2012-06-13 01:00:54,2012-06-13 01:51:25
1703,2012-06-13 09:36:38,2012-06-13 01:51:25
1704,2012-06-14 01:21:21,2012-06-14 01:51:06
1707,2012-06-14 10:56:38,2012-06-14 01:51:04
1710,2012-06-15 01:00:05,2012-06-15 01:50:51
1711,2012-06-15 07:47:48,2012-06-15 01:50:51
1712,2012-06-15 14:03:39,2012-06-15 01:50:51
1714,2012-06-16 10:11:43,2012-06-16 01:50:41
1716,2012-06-17 10:07:09,2012-06-17 01:50:37
1717,2012-06-18 11:33:06,2012-06-18 01:50:33
1718,2012-06-18 14:54:21,2012-06-18 01:50:33
1719,2012-06-19 09:44:29,2012-06-19 01:50:36
1720,2012-06-20 09:48:52,2012-06-20 01:50:43
1721,2012-06-21 14:17:54,2012-06-21 01:50:56
1724,2012-06-23 12:16:00,2012-06-23 01:51:30
1726,2012-06-24 16:21:33,2012-06-24 01:51:54
1729,2012-06-25 12:49:00,2012-06-25 01:52:23
1730,2012-06-25 15:31:09,2012-06-25 01:52:23
1731,2012-06-26 13:03:58,2012-06-26 01:52:55
1732,2012-06-27 17:50:18,2012-06-27 01:53:32
1733,2012-06-28 13:48:25,2012-06-28 01:54:12
1735,2012-06-29 14:23:54,2012-06-29 01:54:57
1737,2012-06-30 13:36:16,2012-06-30 01:55:45
1738,2012-07-01 02:17:11,2012-07-01 01:56:38
1739,2012-07-01 13:31:04,2012-07-01 01:56:38
1743,2012-07-03 15:25:26,2012-07-03 01:58:36
1744,2012-07-04 12:33:37,2012-07-04 01:59:39
1745,2012-07-04 17:41:27,2012-07-04 01:59:37
1746,2012-07-05 12:29:03,2012-07-05 02:00:43
1750,2012-07-08 13:52:49,2012-07-08 02:04:23
1752,2012-07-10 10:41:46,2012-07-10 02:07:03
1754,2012-07-11 14:07:31,2012-07-11 02:08:29
1757,2012-07-12 13:42:41,2012-07-12 02:09:57
1758,2012-07-13 09:09:45,2012-07-13 02:11:28
1759,2012-07-14 08:51:59,2012-07-14 02:13:00
1760,2012-07-14 14:17:51,2012-07-14 02:12:59
1761,2012-07-15 14:49:26,2012-07-15 02:14:35
1762,2012-07-16 03:59:55,2012-07-16 02:16:12
1763,2012-07-16 14:18:15,2012-07-16 02:16:12
1764,2012-07-17 15:56:11,2012-07-17 02:17:52
1765,2012-07-18 13:21:13,2012-07-18 02:19:33
1766,2012-07-19 13:04:25,2012-07-19 02:21:17
1767,2012-07-20 15:21:14,2012-07-20 02:23:02
1768,2012-07-21 14:19:03,2012-07-21 02:24:49
1770,2012-07-21 16:37:10,2012-07-21 02:24:50
1772,2012-07-22 14:43:07,2012-07-22 02:26:38
1781,2012-07-26 10:10:57,2012-07-26 02:34:07
1785,2012-07-28 12:28:01,2012-07-28 02:37:58
1787,2012-07-30 01:32:05,2012-07-30 02:41:54
1789,2012-07-30 13:33:08,2012-07-30 02:41:54
1790,2012-07-31 13:56:27,2012-07-31 02:43:54
1870,2013-05-09 01:44:01,2013-05-09 02:40:34
1871,2013-05-09 15:52:33,2013-05-09 02:40:33
1875,2013-05-11 14:25:52,2013-05-11 02:36:16
1878,2013-05-12 17:08:44,2013-05-12 02:34:10
1882,2013-05-14 01:29:08,2013-05-14 02:30:04
2911,2013-06-09 00:29:57,2013-06-09 01:53:33
2912,2013-06-09 13:29:17,2013-06-09 01:53:33
2913,2013-06-10 00:49:14,2013-06-10 01:52:54
2915,2013-06-10 16:26:17,2013-06-10 01:52:56
2916,2013-06-11 00:43:53,2013-06-11 01:52:24
2918,2013-06-11 10:05:54,2013-06-11 01:52:23
2919,2013-06-12 15:24:03,2013-06-12 01:51:55
2920,2013-06-13 08:10:42,2013-06-13 01:51:31
2921,2013-06-13 14:46:48,2013-06-13 01:51:31
2924,2013-06-14 12:45:09,2013-06-14 01:51:11
2925,2013-06-15 09:43:02,2013-06-15 01:50:55
2926,2013-06-16 10:38:08,2013-06-16 01:50:42
2927,2013-06-16 23:58:28,2013-06-16 01:50:43
2928,2013-06-17 13:22:21,2013-06-17 01:50:36
2929,2013-06-17 23:58:11,2013-06-17 01:50:36
2931,2013-06-18 14:22:10,2013-06-18 01:50:34
2932,2013-06-19 00:44:50,2013-06-19 01:50:35
2933,2013-06-19 18:45:38,2013-06-19 01:50:36
2934,2013-06-20 00:52:16,2013-06-20 01:50:41
2936,2013-06-20 17:51:12,2013-06-20 01:50:42
2937,2013-06-21 12:17:08,2013-06-21 01:50:52
2938,2013-06-22 08:16:46,2013-06-22 01:51:07
2939,2013-06-22 12:40:15,2013-06-22 01:51:05
2941,2013-06-23 10:18:06,2013-06-23 01:51:26
2942,2013-06-23 16:35:10,2013-06-23 01:51:26
2943,2013-06-24 11:21:03,2013-06-24 01:51:49
2944,2013-06-24 17:20:13,2013-06-24 01:51:49
2945,2013-06-25 11:00:39,2013-06-25 01:52:16
2946,2013-06-26 14:12:28,2013-06-26 01:52:47
2947,2013-06-26 23:54:35,2013-06-26 01:52:48
2948,2013-06-27 13:01:27,2013-06-27 01:53:23
2949,2013-06-28 11:10:19,2013-06-28 01:54:03
2950,2013-06-29 11:46:31,2013-06-29 01:54:46
2951,2013-06-30 01:06:47,2013-06-30 01:55:33
2952,2013-06-30 13:27:55,2013-06-30 01:55:34
2953,2013-07-01 01:06:34,2013-07-01 01:56:25
2954,2013-07-01 11:44:53,2013-07-01 01:56:25
2956,2013-07-02 14:09:24,2013-07-02 01:57:20
2958,2013-07-03 12:38:44,2013-07-03 01:58:18
2959,2013-07-04 11:02:12,2013-07-04 01:59:22
2961,2013-07-05 13:17:32,2013-07-05 02:00:27
2963,2013-07-06 11:19:08,2013-07-06 02:01:36
2964,2013-07-07 13:16:52,2013-07-07 02:02:48
2965,2013-07-08 12:54:01,2013-07-08 02:04:04
2968,2013-07-09 12:29:54,2013-07-09 02:05:22
2978,2013-07-15 15:23:17,2013-07-15 02:14:12
2979,2013-07-16 13:37:35,2013-07-16 02:15:49
2980,2013-07-16 17:07:05,2013-07-16 02:15:49
2981,2013-07-17 12:26:01,2013-07-17 02:17:28
2982,2013-07-17 18:26:33,2013-07-17 02:17:28
2983,2013-07-18 14:12:55,2013-07-18 02:19:09
2984,2013-07-19 14:02:15,2013-07-19 02:20:52
2987,2013-07-20 15:09:42,2013-07-20 02:22:39
2989,2013-07-21 14:36:43,2013-07-21 02:24:23
2990,2013-07-22 14:21:07,2013-07-22 02:26:14
2993,2013-07-23 14:11:33,2013-07-23 02:28:01
2994,2013-07-24 11:54:09,2013-07-24 02:29:53
2995,2013-07-25 16:55:13,2013-07-25 02:31:45
2999,2013-07-26 17:03:21,2013-07-26 02:33:39
3001,2013-07-27 15:34:41,2013-07-27 02:35:34
3005,2013-07-29 17:44:12,2013-07-29 02:39:29
3012,2013-07-31 01:07:25,2013-07-31 02:43:25
3015,2013-07-31 17:28:31,2013-07-31 02:43:25
2602,2012-06-09 09:04:46,2012-06-09 01:53:21
2607,2012-06-13 05:40:11,2012-06-13 01:51:23
2608,2012-06-14 07:26:48,2012-06-14 01:51:04
2609,2012-06-14 14:07:09,2012-06-14 01:51:04
2610,2012-06-15 00:01:40,2012-06-15 01:50:49
2611,2012-06-15 12:15:52,2012-06-15 01:50:49
2612,2012-06-15 23:58:48,2012-06-15 01:50:49
2613,2012-06-16 10:29:43,2012-06-16 01:50:39
2614,2012-06-17 02:38:42,2012-06-17 01:50:32
2615,2012-06-18 01:25:53,2012-06-18 01:50:32
2616,2012-06-18 14:52:54,2012-06-18 01:50:31
2617,2012-06-19 07:26:46,2012-06-19 01:50:34
2619,2012-06-19 18:26:13,2012-06-19 01:50:34
2620,2012-06-20 11:03:02,2012-06-20 01:50:42
2621,2012-06-21 00:13:52,2012-06-21 01:50:54
2622,2012-06-21 15:00:36,2012-06-21 01:50:53
2623,2012-06-22 09:04:50,2012-06-22 01:51:09
2624,2012-06-23 00:51:54,2012-06-23 01:51:28
2625,2012-06-23 14:44:14,2012-06-23 01:51:28
2626,2012-06-24 00:25:51,2012-06-24 01:51:52
2629,2012-06-25 16:44:06,2012-06-25 01:52:22
2633,2012-06-29 15:42:24,2012-06-29 01:54:55
2635,2012-07-01 03:08:17,2012-07-01 01:56:36
2636,2012-07-01 08:46:31,2012-07-01 01:56:36
2637,2012-07-01 16:00:29,2012-07-01 01:56:36
2638,2012-07-02 04:26:38,2012-07-02 01:57:32
2639,2012-07-02 14:07:08,2012-07-02 01:57:31
2640,2012-07-03 00:03:37,2012-07-03 01:58:32
2641,2012-07-03 18:49:00,2012-07-03 01:58:32
2642,2012-07-04 13:50:04,2012-07-04 01:59:35
2643,2012-07-05 01:10:47,2012-07-05 02:00:41
2644,2012-07-05 17:27:39,2012-07-05 02:00:41
2645,2012-07-06 15:19:50,2012-07-06 02:01:52
2646,2012-07-08 00:46:11,2012-07-08 02:04:21
2649,2012-07-09 12:31:02,2012-07-09 02:05:40
2651,2012-07-10 00:21:13,2012-07-10 02:07:03
2652,2012-07-10 23:47:10,2012-07-10 02:07:03
2653,2012-07-11 15:26:49,2012-07-11 02:08:27
2654,2012-07-12 17:40:59,2012-07-12 02:09:55
2655,2012-07-13 00:07:34,2012-07-13 02:11:25
2656,2012-07-13 14:16:23,2012-07-13 02:11:26
2657,2012-07-14 00:12:45,2012-07-14 02:12:58
2658,2012-07-15 02:30:45,2012-07-15 02:14:33
2661,2012-07-17 05:11:34,2012-07-17 02:17:51
2662,2012-07-17 16:44:52,2012-07-17 02:17:50
2663,2012-07-18 17:11:32,2012-07-18 02:19:32
2664,2012-07-18 23:19:51,2012-07-18 02:19:32
2665,2012-07-19 14:19:16,2012-07-19 02:21:16
2666,2012-07-20 01:22:44,2012-07-20 02:23:00
2667,2012-07-20 14:56:18,2012-07-20 02:23:01
2671,2012-07-21 12:11:26,2012-07-21 02:24:50
2672,2012-07-21 15:17:05,2012-07-21 02:24:48
2673,2012-07-22 12:43:58,2012-07-22 02:26:38
2674,2012-07-23 00:45:04,2012-07-23 02:28:26
2676,2012-07-24 12:16:59,2012-07-24 02:30:18
2681,2012-07-26 14:06:07,2012-07-26 02:34:06
2683,2012-07-27 17:29:35,2012-07-27 02:36:01
2684,2012-07-28 00:16:31,2012-07-28 02:37:57
2688,2012-07-30 00:30:05,2012-07-30 02:41:53
2690,2012-07-30 15:58:45,2012-07-30 02:41:53
2328,2012-06-11 17:39:21,2012-06-11 01:52:14
2329,2012-06-12 03:40:05,2012-06-12 01:51:46
2330,2012-06-12 12:48:22,2012-06-12 01:51:47
2331,2012-06-13 11:17:42,2012-06-13 01:51:23
2332,2012-06-14 03:12:56,2012-06-14 01:51:04
2334,2012-06-14 13:17:09,2012-06-14 01:51:04
2336,2012-06-15 07:28:38,2012-06-15 01:50:51
2337,2012-06-15 16:05:41,2012-06-15 01:50:49
2338,2012-06-16 12:35:21,2012-06-16 01:50:39
2339,2012-06-17 09:59:48,2012-06-17 01:50:33
2340,2012-06-18 05:47:01,2012-06-18 01:50:32
2341,2012-06-18 14:42:23,2012-06-18 01:50:32
2342,2012-06-19 14:33:10,2012-06-19 01:50:34
2343,2012-06-20 10:44:54,2012-06-20 01:50:41
2344,2012-06-21 06:47:01,2012-06-21 01:50:53
2345,2012-06-22 11:03:32,2012-06-22 01:51:11
2346,2012-06-23 09:21:07,2012-06-23 01:51:29
2348,2012-06-26 00:42:08,2012-06-26 01:52:54
2349,2012-06-26 19:24:18,2012-06-26 01:52:53
2350,2012-06-27 01:07:46,2012-06-27 01:53:31
2352,2012-06-27 12:25:48,2012-06-27 01:53:30
2353,2012-06-29 00:58:10,2012-06-29 01:54:55
2354,2012-06-29 14:28:51,2012-06-29 01:54:55
2356,2012-07-01 18:32:48,2012-07-01 01:56:36
2357,2012-07-03 02:41:20,2012-07-03 01:58:32
2359,2012-07-04 16:42:02,2012-07-04 01:59:35
2361,2012-07-05 16:24:00,2012-07-05 02:00:41
2363,2012-07-07 12:57:47,2012-07-07 02:03:04
2365,2012-07-08 15:14:27,2012-07-08 02:04:21
2369,2012-07-10 12:27:55,2012-07-10 02:07:03
2371,2012-07-12 14:30:23,2012-07-12 02:09:53
2376,2012-07-15 14:45:25,2012-07-15 02:14:33
2377,2012-07-16 14:29:31,2012-07-16 02:16:11
2379,2012-07-18 15:15:43,2012-07-18 02:19:32
2380,2012-07-19 11:48:29,2012-07-19 02:21:15
2381,2012-07-20 09:37:27,2012-07-20 02:23:00
2383,2012-07-21 15:04:45,2012-07-21 02:24:49
2384,2012-07-22 14:08:14,2012-07-22 02:26:38
2385,2012-07-22 16:54:38,2012-07-22 02:26:36
2388,2012-07-24 13:49:03,2012-07-24 02:30:18
2390,2012-07-26 15:33:05,2012-07-26 02:34:05
2391,2012-07-27 13:58:02,2012-07-27 02:36:01
2392,2012-07-28 13:26:00,2012-07-28 02:37:57
2393,2012-07-29 11:49:19,2012-07-29 02:39:54
2394,2012-07-30 01:20:28,2012-07-30 02:41:53
2406,2013-05-04 06:16:26,2013-05-04 02:51:48
2409,2013-05-05 08:03:38,2013-05-05 02:49:28
2410,2013-05-05 14:28:41,2013-05-05 02:49:28
2413,2013-05-07 01:45:44,2013-05-07 02:44:57
2414,2013-05-07 10:31:15,2013-05-07 02:44:57
2415,2013-05-08 01:09:28,2013-05-08 02:42:43
2416,2013-05-08 11:02:28,2013-05-08 02:42:43
2417,2013-05-09 01:34:18,2013-05-09 02:40:32
2418,2013-05-09 10:22:16,2013-05-09 02:40:32
2419,2013-05-10 01:35:19,2013-05-10 02:38:22
2420,2013-05-10 12:48:26,2013-05-10 02:38:22
2421,2013-05-11 01:42:31,2013-05-11 02:36:14
2422,2013-05-11 08:47:19,2013-05-11 02:36:14
2423,2013-05-12 01:20:08,2013-05-12 02:34:08
2424,2013-05-13 01:17:58,2013-05-13 02:32:04
2425,2013-05-13 07:44:31,2013-05-13 02:32:04
2426,2013-05-13 13:53:07,2013-05-13 02:32:04
2428,2013-05-14 01:30:48,2013-05-14 02:30:03
2429,2013-05-14 08:40:05,2013-05-14 02:30:03
2431,2013-05-15 01:38:46,2013-05-15 02:28:03
2432,2013-05-15 07:22:46,2013-05-15 02:28:03
2433,2013-05-15 14:10:03,2013-05-15 02:28:03
2434,2013-05-16 01:52:07,2013-05-16 02:26:04
2435,2013-05-16 07:37:47,2013-05-16 02:26:05
2436,2013-05-17 01:20:37,2013-05-17 02:24:10
2437,2013-05-17 07:11:58,2013-05-17 02:24:10
2439,2013-05-18 01:57:30,2013-05-18 02:22:17
2440,2013-05-18 10:05:57,2013-05-18 02:22:17
2441,2013-05-19 01:30:28,2013-05-19 02:20:27
2442,2013-05-19 10:02:46,2013-05-19 02:20:27
2444,2013-05-20 01:54:29,2013-05-20 02:18:39
2449,2013-05-21 01:41:56,2013-05-21 02:16:53
2450,2013-05-21 17:18:11,2013-05-21 02:16:53
2451,2013-05-22 04:57:11,2013-05-22 02:15:11
2452,2013-05-22 14:32:04,2013-05-22 02:15:11
2453,2013-05-23 02:51:15,2013-05-23 02:13:31
2454,2013-05-24 13:07:47,2013-05-24 02:11:53
2455,2013-05-24 15:31:38,2013-05-24 02:11:56
2456,2013-05-25 01:33:51,2013-05-25 02:10:19
2457,2013-05-26 15:50:44,2013-05-26 02:08:49
2458,2013-05-27 04:33:22,2013-05-27 02:07:20
2460,2013-05-29 08:32:19,2013-05-29 02:04:34
2462,2013-06-07 09:08:32,2013-06-07 01:54:57
2464,2013-06-07 17:41:38,2013-06-07 01:54:57
2465,2013-06-08 12:55:45,2013-06-08 01:54:12
2467,2013-06-20 09:01:33,2013-06-20 01:50:40
2468,2013-06-20 16:51:25,2013-06-20 01:50:40
2469,2013-06-21 11:09:43,2013-06-21 01:50:51
2470,2013-06-22 11:44:05,2013-06-22 01:51:06
2471,2013-06-23 09:13:35,2013-06-23 01:51:24
2475,2013-07-12 00:45:58,2013-07-12 02:09:33
2477,2013-07-17 15:57:42,2013-07-17 02:17:28
2478,2013-07-18 14:22:29,2013-07-18 02:19:08
2480,2013-07-19 12:32:57,2013-07-19 02:20:50
2481,2013-07-20 14:05:02,2013-07-20 02:22:36
2482,2013-07-21 12:20:21,2013-07-21 02:24:22
2483,2013-07-21 16:01:09,2013-07-21 02:24:22
2484,2013-07-22 02:03:35,2013-07-22 02:26:11
2485,2013-07-22 15:33:27,2013-07-22 02:26:11
1943,2012-06-09 13:49:35,2012-06-09 01:53:21
1944,2012-06-10 07:11:07,2012-06-10 01:52:45
1945,2012-06-10 15:09:01,2012-06-10 01:52:45
1947,2012-06-12 07:02:05,2012-06-12 01:51:47
1950,2012-06-13 13:37:45,2012-06-13 01:51:24
1954,2012-06-14 13:29:25,2012-06-14 01:51:05
1957,2012-06-15 10:25:29,2012-06-15 01:50:50
1961,2012-06-16 11:03:53,2012-06-16 01:50:40
1962,2012-06-16 14:48:53,2012-06-16 01:50:40
1964,2012-06-17 04:30:00,2012-06-17 01:50:34
1966,2012-06-17 15:12:24,2012-06-17 01:50:34
1968,2012-06-18 02:31:53,2012-06-18 01:50:31
1969,2012-06-18 13:39:48,2012-06-18 01:50:32
1970,2012-06-19 02:28:40,2012-06-19 01:50:35
1971,2012-06-20 01:53:00,2012-06-20 01:50:42
1972,2012-06-21 09:12:01,2012-06-21 01:50:53
1973,2012-06-22 10:58:40,2012-06-22 01:51:12
1974,2012-06-23 15:27:21,2012-06-23 01:51:28
1975,2012-06-24 12:31:50,2012-06-24 01:51:53
1976,2012-06-24 16:35:16,2012-06-24 01:51:53
1977,2012-06-25 14:22:59,2012-06-25 01:52:21
1978,2012-06-26 00:16:49,2012-06-26 01:52:54
1980,2012-06-26 12:57:27,2012-06-26 01:52:53
1981,2012-06-27 13:33:52,2012-06-27 01:53:31
1982,2012-06-27 16:36:17,2012-06-27 01:53:30
1983,2012-06-28 00:49:24,2012-06-28 01:54:11
1984,2012-06-29 11:36:49,2012-06-29 01:54:55
1985,2012-06-30 00:47:59,2012-06-30 01:55:44
1986,2012-06-30 13:57:30,2012-06-30 01:55:45
1987,2012-07-01 01:04:09,2012-07-01 01:56:36
1989,2012-07-01 13:33:03,2012-07-01 01:56:36
1990,2012-07-02 00:49:48,2012-07-02 01:57:32
1992,2012-07-03 11:34:55,2012-07-03 01:58:31
1995,2012-07-04 10:41:17,2012-07-04 01:59:37
1996,2012-07-05 11:08:10,2012-07-05 02:00:42
1997,2012-07-06 12:09:45,2012-07-06 02:01:53
1999,2012-07-07 14:11:15,2012-07-07 02:03:04
2000,2012-07-08 13:52:58,2012-07-08 02:04:21
2001,2012-07-08 16:23:07,2012-07-08 02:04:20
2006,2012-07-10 12:29:39,2012-07-10 02:07:03
2009,2012-07-11 10:25:12,2012-07-11 02:08:27
2010,2012-07-11 16:37:39,2012-07-11 02:08:27
2013,2012-07-12 13:26:47,2012-07-12 02:09:55
2016,2012-07-13 10:57:23,2012-07-13 02:11:25
2020,2012-07-14 10:06:29,2012-07-14 02:12:58
2023,2012-07-16 13:24:18,2012-07-16 02:16:12
2055,2013-05-01 03:10:02,2013-05-01 02:58:49
2056,2013-05-02 02:06:34,2013-05-02 02:56:27
2057,2013-05-02 15:32:05,2013-05-02 02:56:26
2058,2013-05-03 12:21:02,2013-05-03 02:54:05
2059,2013-05-04 09:05:52,2013-05-04 02:51:46
2060,2013-05-05 10:29:32,2013-05-05 02:49:28
2061,2013-05-06 11:16:56,2013-05-06 02:47:12
2062,2013-05-07 02:24:58,2013-05-07 02:44:57
2063,2013-05-07 12:55:03,2013-05-07 02:44:57
2068,2013-05-10 13:00:19,2013-05-10 02:38:22
2069,2013-05-11 02:09:57,2013-05-11 02:36:15
2071,2013-05-12 01:36:22,2013-05-12 02:34:08
2072,2013-05-12 14:25:12,2013-05-12 02:34:09
2073,2013-05-13 01:40:36,2013-05-13 02:32:05
2075,2013-05-14 01:36:15,2013-05-14 02:30:03
2076,2013-05-14 17:36:01,2013-05-14 02:30:03
2078,2013-05-15 09:36:38,2013-05-15 02:28:03
2079,2013-05-16 13:42:27,2013-05-16 02:26:05
2080,2013-05-17 13:41:19,2013-05-17 02:24:10
2081,2013-05-18 12:24:57,2013-05-18 02:22:17
2082,2013-05-19 02:14:38,2013-05-19 02:20:27
2083,2013-05-19 18:23:39,2013-05-19 02:20:27
2084,2013-05-20 02:13:02,2013-05-20 02:18:39
2091,2013-05-21 16:21:32,2013-05-21 02:16:53
2092,2013-05-22 01:56:30,2013-05-22 02:15:11
2094,2013-05-22 17:37:09,2013-05-22 02:15:11
2095,2013-05-23 01:12:44,2013-05-23 02:13:31
2096,2013-05-23 16:47:37,2013-05-23 02:13:31
2097,2013-05-24 02:04:58,2013-05-24 02:11:54
2098,2013-05-24 17:12:37,2013-05-24 02:11:54
2099,2013-05-26 01:01:38,2013-05-26 02:08:48
2101,2013-05-27 13:25:08,2013-05-27 02:07:20
2102,2013-05-29 15:59:50,2013-05-29 02:04:34
2103,2013-05-30 13:19:45,2013-05-30 02:03:16
2104,2013-05-31 14:32:21,2013-05-31 02:02:00
2106,2013-06-01 09:26:59,2013-06-01 02:00:48
2107,2013-06-02 00:58:58,2013-06-02 01:59:41
2109,2013-06-03 14:00:38,2013-06-03 01:58:36
2110,2013-06-04 00:54:39,2013-06-04 01:57:36
2111,2013-06-05 15:15:37,2013-06-05 01:56:39
2112,2013-06-06 12:30:39,2013-06-06 01:55:46
2113,2013-06-07 12:48:49,2013-06-07 01:54:57
2114,2013-06-09 12:38:58,2013-06-09 01:53:32
2115,2013-06-10 01:41:27,2013-06-10 01:52:54
2118,2013-06-10 16:42:04,2013-06-10 01:52:55
2119,2013-06-11 11:48:13,2013-06-11 01:52:22
2122,2013-06-12 15:01:39,2013-06-12 01:51:54
2124,2013-06-14 01:10:21,2013-06-14 01:51:09
2126,2013-06-15 00:32:43,2013-06-15 01:50:54
2127,2013-06-15 13:44:42,2013-06-15 01:50:54
2128,2013-06-16 00:38:17,2013-06-16 01:50:42
2129,2013-06-16 14:12:29,2013-06-16 01:50:42
2130,2013-06-17 01:03:51,2013-06-17 01:50:35
2131,2013-06-17 14:56:58,2013-06-17 01:50:35
2132,2013-06-18 13:59:54,2013-06-18 01:50:33
2133,2013-06-19 12:39:19,2013-06-19 01:50:34
2134,2013-06-19 18:10:29,2013-06-19 01:50:35
2136,2013-06-20 01:42:29,2013-06-20 01:50:40
2137,2013-06-20 11:17:25,2013-06-20 01:50:40
2138,2013-06-21 13:53:11,2013-06-21 01:50:50
2139,2013-06-22 13:34:11,2013-06-22 01:51:06
2140,2013-06-23 13:20:33,2013-06-23 01:51:24
2142,2013-06-24 11:44:41,2013-06-24 01:51:48
2144,2013-06-25 10:57:39,2013-06-25 01:52:15
2145,2013-06-25 17:16:51,2013-06-25 01:52:15
2146,2013-06-26 01:38:41,2013-06-26 01:52:46
2149,2013-06-27 12:59:46,2013-06-27 01:53:22
2151,2013-06-28 12:01:37,2013-06-28 01:54:02
2152,2013-06-29 11:36:31,2013-06-29 01:54:45
2154,2013-06-30 14:27:06,2013-06-30 01:55:32
2155,2013-07-01 09:41:05,2013-07-01 01:56:25
2158,2013-07-02 12:16:20,2013-07-02 01:57:19
