"trip_id","date_time_start_solar","time_of_day","time_since_sunrise_h","time_since_sunrise_cos"
1693,2012-06-09 14:21:07,"PM",11.2644444444444,-0.981516009157573
1696,2012-06-10 02:02:57,"AM",-1.02833333333333,0.963979441747735
1698,2012-06-11 01:55:31,"AM",-1.14361111111111,0.955514605910595
1699,2012-06-11 16:57:35,"PM",13.8911111111111,-0.879925130934761
1700,2012-06-12 02:25:52,"AM",-0.63,0.986429257176495
1702,2012-06-13 02:12:46,"AM",-0.841944444444444,0.97580558872653
1703,2012-06-13 10:48:30,"AM",7.75361111111111,-0.443136383985488
1704,2012-06-14 02:33:13,"AM",-0.495833333333333,0.99158665346806
1707,2012-06-14 12:08:30,"PM",9.09277777777778,-0.724071552681391
1710,2012-06-15 02:11:57,"AM",-0.846111111111111,0.975566508961804
1711,2012-06-15 08:59:40,"AM",5.94916666666667,0.0133077427237802
1712,2012-06-15 15:15:31,"PM",12.2133333333333,-0.998440764181981
1714,2012-06-16 11:23:35,"AM",8.35055555555556,-0.577263959631905
1716,2012-06-17 11:19:01,"AM",8.27555555555556,-0.561120645632878
1717,2012-06-18 12:44:58,"PM",9.70916666666667,-0.825483091564749
1718,2012-06-18 16:06:13,"PM",13.0633333333333,-0.961501868856515
1719,2012-06-19 10:56:21,"AM",7.89805555555556,-0.47671133276696
1720,2012-06-20 11:00:44,"AM",7.96916666666667,-0.492993101064404
1721,2012-06-21 15:29:46,"PM",12.4494444444444,-0.993085541572686
1724,2012-06-23 13:27:52,"PM",10.4083333333333,-0.914430644563782
1726,2012-06-24 17:33:25,"PM",14.4941666666667,-0.7942820927783
1729,2012-06-25 14:00:52,"PM",10.9436111111111,-0.961999877125356
1730,2012-06-25 16:43:01,"PM",13.6461111111111,-0.908568944219502
1731,2012-06-26 14:15:50,"PM",11.1841666666667,-0.977277373193165
1732,2012-06-27 19:02:10,"PM",15.9461111111111,-0.512167790107124
1733,2012-06-28 15:00:17,"PM",11.9036111111111,-0.999681625585258
1735,2012-06-29 15:35:46,"PM",12.4825,-0.992032458415579
1737,2012-06-30 14:48:08,"PM",11.6752777777778,-0.996388648951973
1738,2012-07-01 03:29:03,"AM",0.3425,0.995982670897502
1739,2012-07-01 14:42:56,"PM",11.5738888888889,-0.993784121148468
1743,2012-07-03 16:37:18,"PM",13.4472222222222,-0.929078784220875
1744,2012-07-04 13:45:29,"PM",10.5661111111111,-0.930364252698534
1745,2012-07-04 18:53:19,"PM",15.6972222222222,-0.567005408576941
1746,2012-07-05 13:40:55,"PM",10.4722222222222,-0.921072175025023
1750,2012-07-08 15:04:41,"PM",11.8072222222222,-0.998726705065567
1752,2012-07-10 11:53:38,"AM",8.57861111111111,-0.624958842505562
1754,2012-07-11 15:19:23,"PM",11.9838888888889,-0.99999110476145
1757,2012-07-12 14:54:33,"PM",11.5455555555556,-0.992931023778424
1758,2012-07-13 10:21:37,"AM",6.97138888888889,-0.25157670902678
1759,2012-07-14 10:03:51,"AM",6.64972222222222,-0.169277831742146
1760,2012-07-14 15:29:43,"PM",12.0811111111111,-0.999774549273231
1761,2012-07-15 16:01:18,"PM",12.5808333333333,-0.988460863292752
1762,2012-07-16 05:11:47,"AM",1.72861111111111,0.899335306553648
1763,2012-07-16 15:30:07,"PM",12.0341666666667,-0.999959995432148
1764,2012-07-17 17:08:03,"PM",13.6386111111111,-0.909387412905033
1765,2012-07-18 14:33:05,"PM",11.0277777777778,-0.967782453543201
1766,2012-07-19 14:16:17,"PM",10.7188888888889,-0.944280666854419
1767,2012-07-20 16:33:06,"PM",12.97,-0.967928773989973
1768,2012-07-21 15:30:55,"PM",11.9038888888889,-0.999683457855509
1770,2012-07-21 17:49:02,"PM",14.2055555555556,-0.837877535797205
1772,2012-07-22 15:54:59,"PM",12.2747222222222,-0.997414719790104
1781,2012-07-26 11:22:49,"AM",7.61388888888889,-0.410055691998692
1785,2012-07-28 13:39:53,"PM",9.83416666666667,-0.843508646331169
1787,2012-07-30 02:43:57,"AM",-1.16361111111111,0.953957192948199
1789,2012-07-30 14:45:00,"PM",10.8538888888889,-0.955321361010701
1790,2012-07-31 15:08:19,"PM",11.2091666666667,-0.978643735834807
1870,2013-05-09 02:55:53,"AM",-0.9425,0.96971236191259
1871,2013-05-09 17:04:25,"PM",13.2,-0.951056516295154
1875,2013-05-11 15:37:44,"PM",11.8266666666667,-0.998970569790715
1878,2013-05-12 18:20:36,"PM",14.5761111111111,-0.781066567759615
1882,2013-05-14 02:41:00,"AM",-1.01555555555556,0.964863795688333
2911,2013-06-09 01:41:49,"AM",-1.39333333333333,0.934204474321029
2912,2013-06-09 14:41:09,"PM",11.5955555555556,-0.994399597786736
2913,2013-06-10 02:01:06,"AM",-1.06111111111111,0.961661577354635
2915,2013-06-10 17:38:09,"PM",14.5558333333333,-0.784370558047674
2916,2013-06-11 01:55:45,"AM",-1.14194444444444,0.955643208453348
2918,2013-06-11 11:17:46,"AM",8.22527777777778,-0.550177144452173
2919,2013-06-12 16:35:55,"PM",13.5355555555556,-0.92027737953041
2920,2013-06-13 09:22:34,"AM",6.31972222222222,-0.0836053761054204
2921,2013-06-13 15:58:40,"PM",12.9213888888889,-0.971047482500813
2924,2013-06-14 13:57:01,"PM",10.8994444444444,-0.958778416369481
2925,2013-06-15 10:54:54,"AM",7.86861111111111,-0.469920970264264
2926,2013-06-16 11:50:00,"AM",8.79055555555555,-0.667291100296313
2927,2013-06-17 01:10:20,"AM",22.1291666666667,0.882434953613469
2928,2013-06-17 14:34:13,"PM",11.5291666666667,-0.992412622315329
2929,2013-06-18 01:10:03,"AM",22.1263888888889,0.882092610734538
2931,2013-06-18 15:34:02,"PM",12.5266666666667,-0.990509463238309
2932,2013-06-19 01:56:42,"AM",-1.09583333333333,0.959128977032056
2933,2013-06-19 19:57:30,"PM",16.9172222222222,-0.279689377480549
2934,2013-06-20 02:04:08,"AM",-0.973611111111111,0.967690836922104
2936,2013-06-20 19:03:04,"PM",16.0083333333333,-0.498109437249724
2937,2013-06-21 13:29:00,"PM",10.4377777777778,-0.917523419106696
2938,2013-06-22 09:28:38,"AM",6.4275,-0.111685736079217
2939,2013-06-22 13:52:07,"PM",10.8194444444444,-0.952617251361214
2941,2013-06-23 11:29:58,"AM",8.44444444444444,-0.597158591702786
2942,2013-06-23 17:47:02,"PM",14.7288888888889,-0.755472428509727
2943,2013-06-24 12:32:55,"PM",9.48722222222222,-0.791312467601045
2944,2013-06-24 18:32:05,"PM",15.4733333333333,-0.614285200098944
2945,2013-06-25 12:12:31,"PM",9.13972222222222,-0.732493393431854
2946,2013-06-26 15:24:20,"PM",12.3280555555556,-0.996314171857278
2947,2013-06-27 01:06:27,"AM",22.0297222222222,0.869889776392738
2948,2013-06-27 14:13:19,"PM",11.1344444444444,-0.974435459169924
2949,2013-06-28 12:22:11,"PM",9.27111111111111,-0.755472428509727
2950,2013-06-29 12:58:23,"PM",9.8625,-0.847469539474235
2951,2013-06-30 02:18:39,"AM",-0.812777777777778,0.977446619893609
2952,2013-06-30 14:39:47,"PM",11.5391666666667,-0.992731108511398
2953,2013-07-01 02:18:26,"AM",-0.830833333333333,0.976437457398784
2954,2013-07-01 12:56:45,"PM",9.80777777777778,-0.839777832052308
2956,2013-07-02 15:21:16,"PM",12.2011111111111,-0.998614268592235
2958,2013-07-03 13:50:36,"PM",10.6738888888889,-0.940337623263637
2959,2013-07-04 12:14:04,"PM",9.04722222222222,-0.715794306519142
2961,2013-07-05 14:29:24,"PM",11.2847222222222,-0.982518154831327
2963,2013-07-06 12:31:00,"PM",9.29222222222222,-0.759081972668013
2964,2013-07-07 14:28:44,"PM",11.2344444444444,-0.97998265694269
2965,2013-07-08 14:05:53,"PM",10.8325,-0.953651324223452
2968,2013-07-09 13:41:46,"PM",10.4088888888889,-0.914489502320907
2978,2013-07-15 16:35:09,"PM",13.1513888888889,-0.954912055767389
2979,2013-07-16 14:49:27,"PM",11.3627777777778,-0.986117053992963
2980,2013-07-16 18:18:57,"PM",14.8544444444444,-0.733532191999149
2981,2013-07-17 13:37:53,"PM",10.1425,-0.884071700125534
2982,2013-07-17 19:38:25,"PM",16.1513888888889,-0.4652926989665
2983,2013-07-18 15:24:47,"PM",11.8961111111111,-0.999630155905506
2984,2013-07-19 15:14:07,"PM",11.6897222222222,-0.996702614034373
2987,2013-07-20 16:21:34,"PM",12.7841666666667,-0.979001021447232
2989,2013-07-21 15:48:35,"PM",12.2055555555556,-0.998552358968962
2990,2013-07-22 15:32:59,"PM",11.9147222222222,-0.9997507925806
2993,2013-07-23 15:23:25,"PM",11.7255555555556,-0.997419942968032
2994,2013-07-24 13:06:01,"PM",9.40444444444444,-0.777877682745171
2995,2013-07-25 18:07:05,"PM",14.3911111111111,-0.810382640950594
2999,2013-07-26 18:15:13,"PM",14.495,-0.794149527216156
3001,2013-07-27 16:46:33,"PM",12.9852777777778,-0.966916207388054
3005,2013-07-29 18:56:04,"PM",15.0786111111111,-0.692405567534459
3012,2013-07-31 02:19:17,"AM",-1.6,0.913545457642601
3015,2013-07-31 18:40:23,"PM",14.7516666666667,-0.751552042033694
2602,2012-06-09 10:16:38,"AM",7.19027777777778,-0.306595298664318
2607,2012-06-13 06:52:03,"AM",3.81333333333333,0.54170821028274
2608,2012-06-14 08:38:40,"AM",5.59555555555556,0.105685571018841
2609,2012-06-14 15:19:01,"PM",12.2680555555556,-0.997538620145592
2610,2012-06-15 01:13:32,"AM",-1.81916666666667,0.888717273317115
2611,2012-06-15 13:27:44,"PM",10.4175,-0.915399323033321
2612,2012-06-16 01:10:40,"AM",22.1330555555556,0.882913449588744
2613,2012-06-16 11:41:35,"AM",8.65111111111111,-0.639662621947341
2614,2012-06-17 03:50:34,"AM",0.802777777777778,0.977996144452361
2615,2012-06-18 02:37:45,"AM",-0.410833333333333,0.99422143644894
2616,2012-06-18 16:04:46,"PM",13.0397222222222,-0.963182120652023
2617,2012-06-19 08:38:38,"AM",5.60333333333333,0.103660539498455
2619,2012-06-19 19:38:05,"PM",16.5941666666667,-0.359793260667492
2620,2012-06-20 12:14:54,"PM",9.20555555555556,-0.74411725012783
2621,2012-06-21 01:25:44,"AM",-1.61722222222222,0.911702297297947
2622,2012-06-21 16:12:28,"PM",13.1619444444444,-0.954087976863018
2623,2012-06-22 10:16:42,"AM",7.22805555555556,-0.315994037127229
2624,2012-06-23 02:03:46,"AM",-0.992777777777778,0.966413467548639
2625,2012-06-23 15:56:06,"PM",12.8794444444444,-0.973612104863282
2626,2012-06-24 01:37:43,"AM",-1.43361111111111,0.930390912800464
2629,2012-06-25 17:55:58,"PM",14.8622222222222,-0.73214674749175
2633,2012-06-29 16:54:16,"PM",13.7913888888889,-0.89202772791042
2635,2012-07-01 04:20:09,"AM",1.19472222222222,0.951482582955634
2636,2012-07-01 09:58:23,"AM",6.83194444444444,-0.216084608392124
2637,2012-07-01 17:12:21,"PM",14.0647222222222,-0.857429372009449
2638,2012-07-02 05:38:30,"AM",2.485,0.795737817443383
2639,2012-07-02 15:19:00,"PM",12.1602777777778,-0.999119782173457
2640,2012-07-03 01:15:29,"AM",-1.91527777777778,0.876901590198295
2641,2012-07-03 20:00:52,"PM",16.8411111111111,-0.298763202348393
2642,2012-07-04 15:01:56,"PM",11.8413888888889,-0.999137990467674
2643,2012-07-05 02:22:39,"AM",-0.831666666666667,0.976390353777821
2644,2012-07-05 18:39:31,"PM",15.4494444444444,-0.619208162478908
2645,2012-07-06 16:31:42,"PM",13.2994444444444,-0.942690031361356
2646,2012-07-08 01:58:03,"AM",-1.30277777777778,0.94239849065745
2649,2012-07-09 13:42:54,"PM",10.4227777777778,-0.915954655861691
2651,2012-07-10 01:33:05,"AM",-1.76388888888889,0.895258609136972
2652,2012-07-11 00:59:02,"AM",21.6686111111111,0.81944391972903
2653,2012-07-11 16:38:41,"PM",13.3061111111111,-0.942106232276098
2654,2012-07-12 18:52:51,"PM",15.5177777777778,-0.605062414840786
2655,2012-07-13 01:19:26,"AM",-2.06416666666667,0.857504208718187
2656,2012-07-13 15:28:15,"PM",12.0825,-0.999766762556921
2657,2012-07-14 01:24:37,"AM",-2.00361111111111,0.86555232350811
2658,2012-07-15 03:42:37,"AM",0.27,0.99750279641627
2661,2012-07-17 06:23:26,"AM",2.89527777777778,0.726224811948506
2662,2012-07-17 17:56:44,"PM",14.4505555555556,-0.801166781430881
2663,2012-07-18 18:23:24,"PM",14.8666666666667,-0.731353701619171
2664,2012-07-19 00:31:43,"AM",21.0052777777778,0.708083128758594
2665,2012-07-19 15:31:08,"PM",11.9666666666667,-0.999961923064171
2666,2012-07-20 02:34:36,"AM",-1.00444444444444,0.96562402286165
2667,2012-07-20 16:08:10,"PM",12.5547222222222,-0.989473234260428
2671,2012-07-21 13:23:18,"PM",9.77666666666667,-0.835327930385117
2672,2012-07-21 16:28:57,"PM",12.8713888888889,-0.974091218915205
2673,2012-07-22 13:55:50,"PM",10.2888888888889,-0.901329161445462
2674,2012-07-23 01:56:56,"AM",-1.72277777777778,0.900002024376321
2676,2012-07-24 13:28:51,"PM",9.77805555555556,-0.835527770624233
2681,2012-07-26 15:17:59,"PM",11.5336111111111,-0.992555011605524
2683,2012-07-27 18:41:27,"PM",14.8927777777778,-0.726674596113255
2684,2012-07-28 01:28:23,"AM",-2.35722222222222,0.815548845307734
2688,2012-07-30 01:41:57,"AM",-2.19666666666667,0.839145535762833
2690,2012-07-30 17:10:37,"PM",13.2811111111111,-0.944280666854419
2328,2012-06-11 18:51:13,"PM",15.7852777777778,-0.547867443378789
2329,2012-06-12 04:51:57,"AM",1.80527777777778,0.890378386561422
2330,2012-06-12 14:00:14,"PM",10.9430555555556,-0.961960153455343
2331,2012-06-13 12:29:34,"PM",9.43861111111111,-0.78346754981741
2332,2012-06-14 04:24:48,"AM",1.36444444444444,0.936875773117687
2334,2012-06-14 14:29:01,"PM",11.4347222222222,-0.989069542999176
2336,2012-06-15 08:40:30,"AM",5.62972222222222,0.0967867438541255
2337,2012-06-15 17:17:33,"PM",14.2477777777778,-0.831792689232876
2338,2012-06-16 13:47:13,"PM",10.745,-0.94650855506963
2339,2012-06-17 11:11:40,"AM",8.15416666666667,-0.53453674419711
2340,2012-06-18 06:58:53,"AM",3.94138888888889,0.513229216912598
2341,2012-06-18 15:54:15,"PM",12.8641666666667,-0.974517086200913
2342,2012-06-19 15:45:02,"PM",12.71,-0.982774447059331
2343,2012-06-20 11:56:46,"AM",8.90361111111111,-0.689040027248156
2344,2012-06-21 07:58:53,"AM",4.93555555555556,0.275078069816333
2345,2012-06-22 12:15:24,"PM",9.20583333333333,-0.744165830057196
2346,2012-06-23 10:32:59,"AM",7.49388888888889,-0.381204842088994
2348,2012-06-26 01:54:00,"AM",-1.17944444444444,0.95270569099337
2349,2012-06-26 20:36:10,"PM",17.5236111111111,-0.124395245673526
2350,2012-06-27 02:19:38,"AM",-0.7625,0.98014159824568
2352,2012-06-27 13:37:40,"PM",10.5383333333333,-0.92767341895873
2353,2012-06-29 02:10:02,"AM",-0.945833333333333,0.969498844593163
2354,2012-06-29 15:40:43,"PM",12.5655555555556,-0.98905881753288
2356,2012-07-01 19:44:40,"PM",16.6033333333333,-0.357553110578587
2357,2012-07-03 03:53:12,"AM",0.713333333333333,0.982612796543615
2359,2012-07-04 17:53:54,"PM",14.7075,-0.75912931235696
2361,2012-07-05 17:35:52,"PM",14.3886111111111,-0.810765938656243
2363,2012-07-07 14:09:39,"PM",10.9119444444444,-0.959703175233108
2365,2012-07-08 16:26:19,"PM",13.1683333333333,-0.953585652308238
2369,2012-07-10 13:39:47,"PM",10.3477777777778,-0.907899453789845
2371,2012-07-12 15:42:15,"PM",12.3416666666667,-0.996002183141757
2376,2012-07-15 15:57:17,"PM",12.5144444444444,-0.990944182787431
2377,2012-07-16 15:41:23,"PM",12.2222222222222,-0.998308158271268
2379,2012-07-18 16:27:35,"PM",12.9363888888889,-0.970101892222763
2380,2012-07-19 13:00:21,"PM",9.45388888888889,-0.785946828718256
2381,2012-07-20 10:49:19,"AM",7.24083333333333,-0.319166072697024
2383,2012-07-21 16:16:37,"PM",12.6655555555556,-0.984858223553614
2384,2012-07-22 15:20:06,"PM",11.6933333333333,-0.996778878456247
2385,2012-07-22 18:06:30,"PM",14.4672222222222,-0.798547971153422
2388,2012-07-24 15:00:55,"PM",11.3125,-0.983846005927077
2390,2012-07-26 16:44:57,"PM",12.9833333333333,-0.967045938913943
2391,2012-07-27 15:09:54,"PM",11.3669444444444,-0.98629760152984
2392,2012-07-28 14:37:52,"PM",10.8008333333333,-0.951123910711107
2393,2012-07-29 13:01:11,"PM",9.15694444444444,-0.73555538975489
2394,2012-07-30 02:32:20,"AM",-1.35694444444444,0.937560527195691
2406,2013-05-04 07:28:18,"AM",3.41055555555556,0.627170396186309
2409,2013-05-05 09:15:30,"AM",5.23611111111111,0.19865526040729
2410,2013-05-05 15:40:33,"PM",11.6536111111111,-0.995890986969824
2413,2013-05-07 02:57:36,"AM",-0.986944444444444,0.96680480950822
2414,2013-05-07 11:43:07,"AM",7.77166666666667,-0.447368896841307
2415,2013-05-08 02:21:20,"AM",-1.55416666666667,0.918360064844353
2416,2013-05-08 12:14:20,"PM",8.32916666666667,-0.57268253901015
2417,2013-05-09 02:46:10,"AM",-1.10388888888889,0.958530079486113
2418,2013-05-09 11:34:08,"AM",7.69555555555556,-0.429460599954326
2419,2013-05-10 02:47:11,"AM",-1.05083333333333,0.962395994429715
2420,2013-05-10 14:00:18,"PM",10.1677777777778,-0.887145112875653
2421,2013-05-11 02:54:23,"AM",-0.895277777777778,0.972657779891809
2422,2013-05-11 09:59:11,"AM",6.18472222222222,-0.0483413168640301
2423,2013-05-12 02:32:00,"AM",-1.23333333333333,0.948323655206199
2424,2013-05-13 02:29:50,"AM",-1.235,0.948185114662219
2425,2013-05-13 08:56:23,"AM",5.2075,0.205990702946648
2426,2013-05-13 15:04:59,"PM",11.3508333333333,-0.985592981933649
2428,2013-05-14 02:42:40,"AM",-0.9875,0.966767635977008
2429,2013-05-14 09:51:57,"AM",6.16722222222222,-0.043764692577235
2431,2013-05-15 02:50:38,"AM",-0.821388888888889,0.976968049813872
2432,2013-05-15 08:34:38,"AM",4.91194444444444,0.281015685411848
2433,2013-05-15 15:21:55,"PM",11.7,-0.996917333733128
2434,2013-05-16 03:03:59,"AM",-0.565833333333333,0.989048086835949
2435,2013-05-16 08:49:39,"AM",5.195,0.209191904541846
2436,2013-05-17 02:32:29,"AM",-1.05916666666667,0.96180105529077
2437,2013-05-17 08:23:50,"AM",4.79666666666667,0.309846829983759
2439,2013-05-18 03:09:22,"AM",-0.413055555555556,0.994158815278306
2440,2013-05-18 11:17:49,"AM",7.72777777777778,-0.437063440634724
2441,2013-05-19 02:42:20,"AM",-0.833055555555556,0.976311744471246
2442,2013-05-19 11:14:38,"AM",7.70527777777778,-0.431757804685504
2444,2013-05-20 03:06:21,"AM",-0.402777777777778,0.994445617155102
2449,2013-05-21 02:53:48,"AM",-0.5825,0.988394675120716
2450,2013-05-21 18:30:03,"PM",15.0216666666667,-0.703084491083621
2451,2013-05-22 06:09:03,"AM",2.7,0.760405965600031
2452,2013-05-22 15:43:56,"PM",12.2813888888889,-0.997287781136404
2453,2013-05-23 04:03:07,"AM",0.628888888888889,0.986476975459683
2454,2013-05-24 14:19:39,"PM",10.9316666666667,-0.961141334951794
2455,2013-05-24 16:43:30,"PM",13.3283333333333,-0.940139518909896
2456,2013-05-25 02:45:43,"AM",-0.607777777777778,0.987367758659212
2457,2013-05-26 17:02:36,"PM",13.6986111111111,-0.90274176293212
2458,2013-05-27 05:45:14,"AM",2.43388888888889,0.803770338647678
2460,2013-05-29 09:44:11,"AM",6.4625,-0.120786571217731
2462,2013-06-07 10:20:24,"AM",7.22638888888889,-0.315580031901691
2464,2013-06-07 18:53:30,"PM",15.7780555555556,-0.549448218229616
2465,2013-06-08 14:07:37,"PM",11.0258333333333,-0.967654154449577
2467,2013-06-20 10:13:25,"AM",7.18138888888889,-0.304379438309067
2468,2013-06-20 18:03:17,"PM",15.0125,-0.704788997513671
2469,2013-06-21 12:21:35,"PM",9.31444444444444,-0.762856440946428
2470,2013-06-22 12:55:57,"PM",9.88305555555556,-0.850313955390647
2471,2013-06-23 10:25:27,"AM",7.36972222222222,-0.350956553091191
2475,2013-07-12 01:57:50,"AM",-1.39305555555556,0.934230414570134
2477,2013-07-17 17:09:34,"PM",13.6705555555556,-0.90587704605457
2478,2013-07-18 15:34:21,"PM",12.0558333333333,-0.999893171621056
2480,2013-07-19 13:44:49,"PM",10.2019444444444,-0.891237514577937
2481,2013-07-20 15:16:54,"PM",11.7072222222222,-0.997063900011391
2482,2013-07-21 13:32:13,"PM",9.93305555555555,-0.857129843809831
2483,2013-07-21 17:13:01,"PM",13.6130555555556,-0.912149924204626
2484,2013-07-22 03:15:27,"AM",-0.376666666666667,0.995141863893438
2485,2013-07-22 16:45:19,"PM",13.1211111111111,-0.957235381089343
1943,2012-06-09 15:01:27,"PM",11.9372222222222,-0.999864945406967
1944,2012-06-10 08:22:59,"AM",5.30611111111111,0.180662198012326
1945,2012-06-10 16:20:53,"PM",13.2711111111111,-0.945139119888252
1947,2012-06-12 08:13:57,"AM",5.17166666666667,0.215161460386501
1950,2012-06-13 14:49:37,"PM",11.7725,-0.998226865523942
1954,2012-06-14 14:41:17,"PM",11.6388888888889,-0.995534547484574
1957,2012-06-15 11:37:21,"AM",8.5775,-0.624731731947975
1961,2012-06-16 12:15:45,"PM",9.22027777777778,-0.746686557227606
1962,2012-06-16 16:00:45,"PM",12.9702777777778,-0.967910501849221
1964,2012-06-17 05:41:52,"AM",2.65722222222222,0.767631424252358
1966,2012-06-17 16:24:16,"PM",13.3638888888889,-0.936926619541054
1968,2012-06-18 03:43:45,"AM",0.689444444444444,0.983754749141215
1969,2012-06-18 14:51:40,"PM",11.8211111111111,-0.998903535411833
1970,2012-06-19 03:40:32,"AM",0.634722222222222,0.986225523335934
1971,2012-06-20 03:04:52,"AM",0.0383333333333333,0.999949643355429
1972,2012-06-21 10:23:53,"AM",7.35222222222222,-0.346662816066842
